jgd_id;jgd_old_id;jgd_tag;jgd_nome;jgd_pis_id
118;6064e1413036cdb09d7744f3;Serpent;;1
119;627127d8da9d7ca1c7badba3;Shiori;;1
120;61e55043c437fde7e02cc9e7;ShiroKuMa;;1
121;621c9e39da9d7ca1c7ba947f;shu;;1
122;61800b46143c37878b23bc72;shuka;;1
123;60bbd0ba6dcdb413cff64a15;sk;;1
124;60bbce346dcdb413cff649aa;slct;;1
125;5f3d8fdd95f40596eae2423e;sola;;1
126;61f90e5cda9d7ca1c7ba7436;Strelitzia;;1
127;60bbcefe6dcdb413cff649c9;SUGAVUKI;;1
128;61f9101bda9d7ca1c7ba74a8;syueP;;1
129;61f91289da9d7ca1c7ba752a;T0d0v0000sTLV;;1
130;616dab72f8090ec7452886e7;Takosuke;;1
131;60bbd0576dcdb413cff64a0c;tanukin;;1
132;60bbcefe6dcdb413cff649c8;temma;;1
133;61e54cfcda9d7ca1c7ba4e52;TenKu845;;1
134;5f3d8fdd95f40596eae2423f;tenon;;1
135;618009d0143c37878b23bc37;tenpuraaaa;;1
136;60c5cd4c490bd8649dd30fff;tetu;;1
137;627a3394da9d7ca1c7bae528;THUXYA;;1
138;61e54f10da9d7ca1c7ba4ea4;titomaru;;1
139;616dab72f8090ec7452886e8;Toki;;1
140;6194ff46f8090ec74528cc90;Toronto;;1
141;621c9c6eda9d7ca1c7ba93f2;tororo;;1
142;61f90debda9d7ca1c7ba740b;Tukai;;1
143;616dabf2f8090ec7452886f5;Turtle Crab and Kaelu;;1
144;60bbd0f68029840609c3b4bc;ura;;1
145;60bbd0f68029840609c3b4bb;Utsuho_Rin;;1
146;60bbcefe6dcdb413cff649ca;waiwai;;1
147;627127d8da9d7ca1c7badba1;wallx1;;1
148;5f3d8fdd95f40596eae24242;WEAGLE;;1
149;6284d6ccc437fde7e02d6e7d;xamxammax;;1
150;61800bfd143c37878b23bcc1;YAJUMI;;1
151;616dabf2f8090ec7452886f6;yaki!;;1
152;621c9ec0c437fde7e02d0e50;YMTO;;1
153;619500aef8090ec74528ccbc;yoyopanZ;;1
154;616dab72f8090ec7452886e6;YUkkkkE;;1
155;61e54e6eda9d7ca1c7ba4e87;yurin0420;;1
156;60bbd0576dcdb413cff64a0b;zalez_41;;1
157;61fe4a56da9d7ca1c7ba7bd4;5bs;;2
158;621ca644c437fde7e02d0fec;A8CH;;2
159;61800fd0f8090ec74528a5f4;a_clever_rabbit;;2
160;62713111c437fde7e02d5553;Adapz;;2
161;621ca419c437fde7e02d0f55;amogus;;2
162;61e5675dc437fde7e02ccbae;AmuKK;;2
