stt_jgd_id,stt_chutes_ao_gol,stt_gols,stt_defesas,stt_assistencias,stt_pontuacao,stt_relacao_chute_gol,stt_impulso_por_minuto,stt_med_impulso,stt_impulso_coletado,stt_impulso_roubado,stt_impulso_grande_coletado,stt_impulso_grande_roubado,stt_impulso_pequeno_coletado,stt_impulso_pequeno_roubado,stt_blocos_grandes_coletados,stt_blocos_grandes_roubados,stt_blocos_pequenos_coletados,stt_blocos_pequenos_roubados,stt_velocidade_med,stt_distancia_percorrida,stt_distancia_med_da_bola,stt_distancia_med_posse,stt_distancia_med_s_posse,stt_distancia_med_dos_aliados,stt_demolicoes_causadas,stt_demolicoes_recebidas,stt_participacoes_gols,cluster
255,2.27,0.55,1.64,0.45,328.23,19.68,397.32,49.4,2300.41,387.23,1638.41,244.0,662.0,143.23,18.55,2.82,56.14,12.68,1457.18,485793.45,2983.64,2915.09,3053.91,3815.55,0.27,0.77,41.36,1
256,0.5,0.0,1.5,0.5,230.5,0.0,344.5,51.96,1942.5,287.5,1435.0,222.0,507.5,65.5,17.0,2.5,44.5,5.5,1418.5,461388.0,3324.5,3251.0,3415.5,3971.0,0.0,0.5,50.0,2
257,2.56,0.81,1.56,0.61,377.83,22.69,402.87,53.55,2481.42,566.89,1794.64,368.39,686.78,198.5,23.67,4.77,59.24,17.39,1582.88,549835.1,2966.21,2831.36,3101.07,3774.26,1.27,0.96,42.18,0
258,3.19,1.03,1.5,0.57,415.23,25.11,356.48,42.24,2166.6,382.29,1474.07,222.1,692.53,160.19,17.18,2.58,57.36,13.38,1497.71,519474.15,2880.38,2841.64,2908.64,3694.2,0.66,0.79,47.87,1
259,2.33,0.64,1.13,0.75,324.24,17.26,418.97,45.74,2470.48,537.64,1739.35,320.84,731.12,216.8,20.41,3.73,62.21,18.25,1525.93,516668.26,3162.37,3103.46,3225.0,3858.87,1.05,0.8,39.42,1
260,2.56,0.78,1.51,0.44,359.81,20.36,402.74,45.66,2422.22,573.29,1582.35,344.0,839.87,229.29,18.66,4.12,70.69,19.41,1533.24,531420.84,2940.85,2861.21,3009.51,3721.1,1.9,0.85,42.77,0
261,2.64,0.85,1.41,0.48,360.12,21.64,392.72,52.08,2397.15,611.54,1599.06,357.92,798.09,253.62,20.36,4.54,69.57,22.04,1572.21,538051.73,2872.2,2781.1,2965.22,3723.04,1.32,0.81,42.2,0
262,3.83,1.08,1.83,0.5,461.58,22.85,442.42,52.94,2835.75,490.67,2025.92,292.25,809.83,198.42,24.75,3.5,65.83,16.33,1488.17,571320.75,2965.83,2882.83,3048.83,3768.83,0.58,1.33,39.86,0
263,3.4,1.4,1.6,1.0,473.2,31.0,427.6,46.82,2769.2,554.2,2043.4,365.4,725.8,188.8,23.4,4.2,59.8,17.2,1553.8,597959.2,2694.4,2563.2,2811.2,3533.2,0.8,0.8,57.0,0
264,2.24,0.71,1.06,0.65,346.59,26.76,401.65,45.67,2522.06,453.82,1647.0,260.18,875.06,193.65,19.53,3.06,76.41,17.41,1550.76,566141.82,2813.47,2714.82,2888.0,3425.18,1.0,0.88,44.9,1
265,2.0,0.33,0.67,0.33,202.67,1.11,464.0,42.53,2531.33,429.67,1774.0,257.33,757.33,172.33,19.67,2.67,64.67,15.33,1544.33,507676.0,2783.33,2697.67,2850.0,3535.0,0.33,1.67,50.0,1
266,2.9,0.55,1.52,0.55,353.93,15.16,438.79,44.22,2704.48,471.28,1850.21,262.62,854.28,208.66,21.03,3.1,67.17,15.86,1528.72,553859.48,2836.34,2720.24,2954.14,3483.31,0.62,1.1,40.23,1
267,2.16,0.63,1.53,0.63,322.63,16.58,379.21,47.22,2298.32,336.11,1630.11,162.05,668.21,174.05,20.0,2.05,57.16,14.89,1529.05,520193.05,3013.11,3074.53,2964.11,3628.0,1.37,1.58,35.39,1
268,3.5,0.25,2.25,0.25,309.75,0.42,467.75,47.07,2606.75,561.25,1870.75,295.75,736.0,265.5,22.75,3.5,63.75,22.0,1614.0,516497.0,2790.75,2794.25,2773.75,3222.75,0.5,1.0,50.0,0
269,2.51,0.58,1.82,0.64,376.83,17.29,502.92,44.67,3014.1,591.17,2105.21,332.56,908.9,258.61,24.66,3.86,72.44,20.32,1672.58,575386.7,2853.22,2744.01,2968.88,3592.82,1.43,1.09,46.47,0
270,2.31,0.69,1.78,0.36,359.87,22.96,385.67,50.11,2266.76,474.6,1522.93,280.51,743.82,194.09,19.09,3.29,64.44,17.22,1562.6,524749.07,2905.8,2825.51,2985.69,3606.31,1.27,1.36,38.22,1
271,2.58,0.67,1.5,0.08,285.42,20.97,326.83,45.33,1900.08,328.33,928.0,88.92,972.08,239.42,12.0,1.58,76.08,19.5,1424.83,480862.17,2488.83,2520.58,2446.17,3391.5,0.25,1.25,24.72,2
272,2.45,0.57,1.54,0.69,352.57,18.28,399.58,46.24,2345.15,409.13,1598.43,216.12,746.72,193.01,18.6,2.52,62.06,16.16,1529.31,510743.99,2791.6,2697.7,2875.52,3594.52,0.75,1.12,48.56,1
273,2.33,0.54,1.29,0.54,319.67,19.1,372.83,43.71,2150.21,480.33,1418.25,239.5,731.96,240.83,16.21,2.62,62.75,19.83,1502.46,504931.79,2529.29,2427.83,2609.75,3244.5,1.25,1.33,42.85,1
274,1.33,0.0,1.17,0.33,212.33,0.0,448.17,44.83,2530.0,479.17,1815.5,285.83,714.5,193.33,20.17,3.0,60.33,15.83,1538.33,508319.67,3075.83,3023.5,3092.17,3710.83,1.33,1.0,8.89,1
275,1.2,0.4,2.3,0.4,344.8,6.0,359.9,42.02,2148.6,327.1,1504.3,195.9,644.3,131.2,17.2,2.3,55.3,11.8,1499.1,528982.9,2629.2,2529.4,2689.7,3407.8,0.4,1.6,40.33,2
276,2.76,0.73,1.38,0.56,336.07,22.27,389.69,52.34,2400.91,671.89,1668.84,439.4,732.07,232.49,20.31,5.29,65.53,20.73,1550.2,524511.38,3018.62,2936.96,3083.38,3767.78,1.16,1.04,35.39,0
277,2.0,0.67,2.0,0.0,357.33,33.33,423.67,46.53,2396.67,514.67,1899.0,332.67,497.67,182.0,22.67,4.0,41.33,13.67,1491.67,483263.67,2915.67,2685.0,3154.33,3708.67,1.33,1.33,2.22,1
278,2.29,0.14,1.14,0.43,249.43,2.86,368.71,47.4,2092.29,421.14,1489.86,269.57,602.43,151.57,18.29,3.29,53.29,13.57,1536.86,500821.14,2618.86,2546.29,2680.71,3383.86,1.0,2.43,57.14,1
279,2.33,0.67,1.33,0.0,269.33,2.22,458.0,55.03,2748.67,436.33,1905.0,271.33,843.67,165.0,22.67,3.0,75.33,14.67,1590.67,535595.33,3398.33,3450.33,3317.33,4013.67,0.67,1.33,50.0,0
280,2.96,0.79,1.14,0.52,353.44,25.87,388.0,51.51,2383.63,667.0,1590.62,392.06,793.01,274.94,20.86,4.9,65.76,22.56,1551.03,521673.97,2751.25,2607.61,2892.31,3588.97,0.86,1.01,44.81,0
281,3.04,0.77,1.88,0.42,407.08,16.41,369.46,41.76,2145.35,360.65,1460.81,185.46,684.54,175.19,17.42,2.19,57.46,14.92,1504.27,521283.92,2548.31,2491.0,2580.38,3303.58,0.81,1.54,36.22,1
282,1.99,0.55,1.63,0.64,345.26,21.31,391.46,49.65,2387.42,537.59,1558.18,300.0,829.24,237.59,18.92,3.62,72.7,20.69,1531.69,524282.84,2812.57,2718.23,2898.17,3583.56,1.1,0.97,42.28,1
283,2.42,0.56,1.86,0.47,376.03,9.25,436.47,46.23,2501.47,531.64,1776.81,316.03,724.67,215.61,21.06,3.67,58.47,17.22,1626.31,532310.19,2618.56,2417.92,2795.19,3406.39,1.19,0.89,40.05,0
284,2.03,0.55,1.48,0.24,306.36,10.66,401.34,37.35,2346.0,484.87,1559.17,279.09,786.83,205.78,17.58,3.03,66.06,17.55,1574.84,529572.46,2832.98,2774.65,2878.14,3616.44,0.64,1.09,29.19,1
285,2.69,0.25,0.69,0.44,247.19,3.12,401.81,46.08,2360.19,504.69,1620.19,289.38,740.0,215.31,19.25,3.38,63.62,18.69,1562.5,533486.75,2707.12,2597.12,2814.94,3551.44,0.69,0.88,25.83,1
286,3.0,0.67,1.67,1.0,453.33,16.67,410.33,37.15,2567.33,464.67,1476.67,197.67,1090.67,267.0,17.0,2.0,86.67,23.33,1562.33,570461.0,2830.0,2830.33,2830.67,3591.33,0.33,0.33,70.0,1
287,3.5,0.7,1.4,0.5,362.1,13.83,475.9,43.17,2777.3,516.1,2015.9,321.2,761.4,194.9,24.3,3.7,64.3,17.2,1680.9,573495.5,2995.3,2853.2,3131.2,3683.8,1.7,1.0,61.33,0
288,4.0,1.33,1.0,1.0,404.0,33.89,418.67,48.03,2547.33,550.33,1955.67,441.0,591.67,109.33,23.33,5.0,47.67,9.67,1527.67,554555.67,3016.33,2683.33,3283.33,3662.33,1.33,1.33,93.33,0
289,2.55,0.59,1.41,0.46,336.9,18.72,384.26,47.26,2259.5,477.55,1405.97,221.09,853.53,256.46,16.58,2.63,75.15,22.59,1546.18,521717.98,2779.75,2623.91,2915.38,3559.39,1.38,1.03,37.26,1
290,2.58,1.0,1.25,0.25,337.5,38.06,402.58,52.28,2299.75,477.67,1621.33,282.83,678.42,194.83,18.83,3.42,53.67,15.0,1554.17,505149.08,2679.92,2548.92,2807.5,3507.42,0.58,1.33,42.22,1
291,2.68,0.74,1.51,0.51,365.5,18.0,440.42,46.42,2526.67,509.87,1866.22,329.11,660.45,180.76,21.83,3.76,54.25,15.04,1572.83,523814.63,2905.57,2749.7,3059.09,3664.69,0.73,1.08,43.53,0
292,2.67,0.67,1.58,0.67,350.0,24.03,379.75,44.48,2158.25,467.33,1364.58,249.0,793.67,218.33,16.33,2.92,62.17,16.17,1522.17,496387.42,2835.92,2772.42,2884.5,3578.67,1.17,0.75,49.44,1
293,2.42,0.85,1.81,0.58,379.73,25.51,413.54,48.04,2516.12,535.96,1802.31,336.38,713.81,199.58,21.19,3.96,60.31,17.5,1576.42,539567.73,2895.88,2726.23,3054.77,3553.27,0.96,1.15,45.0,0
294,2.45,0.77,1.61,0.6,360.42,22.04,401.39,46.92,2362.11,422.56,1554.84,231.11,807.27,191.45,18.81,2.85,70.58,17.16,1579.02,525003.47,2919.53,2899.16,2942.56,3587.34,1.03,1.61,41.74,1
295,1.0,0.0,1.33,1.0,277.0,0.0,424.67,50.81,2572.33,512.33,1823.0,288.67,749.33,223.67,22.0,3.67,66.0,19.33,1621.33,556741.67,3017.67,2812.67,3124.33,3703.33,0.33,1.33,83.33,0
296,3.39,0.96,1.73,0.51,423.01,17.03,441.19,46.39,2612.4,583.83,1918.73,376.49,693.67,207.35,22.45,4.4,58.92,17.4,1639.52,557976.53,2823.13,2680.24,2963.05,3624.05,1.12,1.21,53.26,0
297,1.32,0.37,1.74,0.37,305.95,13.86,434.37,52.42,2702.58,527.16,1940.63,304.79,761.95,222.37,23.42,3.63,66.95,18.95,1627.74,565350.26,2815.58,2635.79,2956.47,3360.84,0.68,1.11,44.21,0
298,2.35,0.61,2.09,0.26,377.78,22.46,378.35,46.65,2187.74,445.7,1514.43,260.17,673.3,185.52,18.17,3.22,57.22,16.13,1524.57,501748.22,2754.57,2645.35,2861.39,3499.22,0.83,1.35,40.29,1
299,1.19,0.31,1.12,0.12,204.88,18.96,413.25,44.36,2362.0,511.94,1622.38,296.31,739.62,215.62,18.81,3.38,62.06,18.5,1566.94,520621.25,2840.19,2660.56,2984.0,3461.56,1.06,1.0,23.44,1
300,2.5,0.59,1.58,0.59,339.45,20.21,375.71,47.91,2226.22,471.11,1445.83,267.75,780.39,203.36,17.46,3.16,67.76,17.68,1501.0,508487.93,2896.65,2829.59,2957.5,3620.06,0.83,1.27,40.24,1
301,2.32,0.39,2.16,0.5,371.27,15.72,422.61,47.92,2476.91,564.07,1679.77,358.52,797.14,205.55,20.16,4.2,69.07,18.02,1592.84,538386.3,2773.07,2609.23,2936.95,3577.55,0.89,1.07,28.98,0
302,2.33,0.54,1.93,0.76,388.72,21.34,414.8,45.01,2370.46,494.63,1511.24,265.61,859.22,229.02,17.74,3.0,74.48,19.78,1580.35,520586.24,2654.02,2549.57,2756.39,3529.67,0.85,1.46,30.76,1
303,2.81,0.76,1.51,0.54,370.31,21.68,435.85,49.88,2522.49,497.24,1857.95,307.99,664.54,189.25,22.6,3.56,58.31,16.31,1590.85,531935.67,2946.71,2814.12,3079.58,3698.16,1.08,0.9,47.41,0
304,1.52,0.38,1.66,0.34,297.34,17.59,347.55,43.22,2066.9,356.59,1270.07,163.41,796.83,193.17,15.34,2.1,68.62,16.45,1528.07,517552.72,2940.59,2867.24,3010.62,3594.69,0.93,0.97,25.66,2
305,1.89,0.54,1.47,0.55,322.7,19.02,385.64,50.32,2345.09,470.93,1559.97,260.24,785.12,210.69,19.17,3.07,69.01,18.33,1565.42,537898.94,2916.56,2863.98,2959.22,3564.59,1.27,1.1,43.63,1
306,2.92,0.81,1.27,0.54,361.49,26.98,461.51,46.81,2706.51,578.73,2001.7,363.27,704.81,215.46,23.22,4.16,58.22,17.62,1595.38,534853.3,2949.95,2793.65,3095.03,3699.19,1.22,1.11,48.6,0
307,1.92,0.66,1.75,0.42,358.87,23.78,393.25,38.59,2240.72,366.01,1517.1,181.01,723.62,185.0,17.0,2.0,60.15,15.29,1472.18,495316.18,2645.25,2578.76,2695.95,3306.57,0.62,1.1,40.34,1
308,1.75,0.0,1.25,0.5,245.25,0.0,439.5,42.22,2356.75,304.0,1618.75,164.75,738.0,139.25,18.25,1.75,61.75,12.25,1669.5,536895.75,3073.25,2906.75,3254.0,3704.5,0.25,0.25,12.5,2
309,2.0,0.75,0.75,0.5,311.5,25.0,455.25,49.83,2688.0,760.0,2014.25,526.25,673.75,233.75,23.0,5.5,52.25,18.5,1597.25,520896.0,2809.0,2538.5,3073.5,3476.75,0.25,1.5,62.5,0
310,3.11,0.76,1.18,0.65,368.25,18.14,421.93,45.62,2565.58,561.65,1744.65,313.49,820.93,248.16,20.55,3.71,68.07,20.76,1560.45,537379.55,2711.93,2614.56,2801.47,3523.98,1.09,1.13,60.27,0
311,3.14,1.0,1.57,0.29,384.14,33.57,464.29,44.09,2820.57,470.43,2098.57,268.86,722.0,201.57,25.43,3.0,62.86,18.0,1707.57,574979.57,2896.57,2764.86,3008.86,3687.29,2.0,0.71,37.28,0
312,1.78,0.49,1.57,0.45,331.65,20.88,399.35,44.51,2335.12,443.67,1471.1,211.37,864.02,232.29,17.43,2.43,71.2,19.08,1503.25,505037.71,2745.61,2636.37,2844.29,3606.39,0.86,1.04,38.59,1
313,1.86,0.57,1.71,0.57,336.29,8.57,357.71,50.71,2111.86,417.29,1568.86,272.57,543.0,144.71,19.0,3.29,48.71,12.86,1562.14,523226.57,2906.57,2829.14,2956.57,3665.43,0.86,0.71,29.18,1
314,2.25,0.0,1.25,0.0,218.5,0.0,378.25,40.2,2095.75,495.0,1354.75,319.0,741.0,176.0,14.75,3.25,62.75,15.25,1480.5,476213.25,2618.25,2474.0,2756.0,3243.0,0.0,0.5,0.0,2
315,3.07,1.07,1.41,0.21,404.83,19.52,446.07,47.15,2621.76,570.0,1952.55,351.0,669.21,219.0,23.48,4.17,50.24,15.55,1623.93,551780.83,2611.55,2457.17,2776.93,3530.31,0.86,0.76,43.91,0
316,2.56,0.59,1.52,0.71,354.85,17.77,403.79,48.56,2413.11,490.88,1613.47,260.41,799.64,230.47,19.22,3.1,69.1,19.43,1588.54,532306.37,2853.66,2796.38,2907.05,3575.71,1.79,1.0,46.46,1
317,2.84,0.82,1.59,0.51,399.57,23.61,376.12,44.82,2214.59,518.15,1413.34,262.71,801.24,255.44,17.42,3.21,69.26,21.96,1518.93,509419.14,2780.61,2645.15,2893.29,3588.57,1.06,1.1,53.43,1
318,2.65,0.62,1.6,0.75,378.38,14.41,451.16,47.84,2741.23,478.43,1983.83,291.03,757.39,187.41,23.51,3.52,65.47,16.14,1623.66,560038.48,2724.57,2607.03,2820.68,3545.53,0.82,0.98,46.92,0
319,2.78,0.89,1.59,0.58,384.71,27.56,405.48,45.82,2374.33,495.94,1594.8,273.24,779.53,222.7,18.76,3.18,65.42,18.68,1572.01,531457.96,2801.93,2690.72,2903.73,3543.43,0.75,0.98,50.08,1
320,3.25,0.5,2.0,0.0,330.5,12.5,440.0,42.02,2509.75,355.0,1670.75,126.0,839.0,229.0,18.75,1.5,71.0,18.75,1659.5,542549.0,2582.75,2411.75,2745.25,3379.5,0.5,0.25,25.0,1
321,2.0,0.4,1.2,0.2,231.6,10.0,484.0,47.54,2890.2,592.6,2125.4,396.2,764.8,196.4,24.6,4.6,66.0,16.6,1607.4,547217.4,2566.6,2480.8,2639.2,3252.4,1.0,1.4,11.33,0
322,1.5,0.43,1.71,0.57,325.29,25.24,402.93,42.73,2263.5,351.71,1472.5,173.0,791.0,178.71,17.14,2.0,68.29,15.29,1554.43,502716.5,2986.5,2985.0,2997.5,3708.07,0.86,1.07,52.02,1
323,3.72,0.88,1.57,0.6,417.11,17.93,457.23,48.98,2706.02,715.63,2045.66,490.77,660.36,224.86,24.66,5.59,57.43,19.3,1700.46,573321.12,2963.86,2772.83,3158.75,3826.77,1.24,0.93,45.89,0
324,2.16,0.7,1.16,0.56,318.3,19.19,436.42,49.99,2566.23,575.28,1835.56,356.12,730.67,219.16,21.6,4.12,60.53,18.93,1659.3,555704.53,2783.02,2638.53,2897.67,3489.72,1.26,0.95,50.35,0
325,2.29,1.0,1.71,0.29,404.14,30.48,412.29,45.0,2732.29,379.29,1969.57,236.71,762.71,142.57,22.86,2.57,60.29,12.86,1548.43,590871.86,2678.57,2678.14,2696.0,3442.0,0.86,0.57,64.76,1
326,1.76,0.41,1.82,0.59,372.29,14.71,355.65,47.33,2318.35,416.53,1645.76,232.88,672.59,183.65,20.06,2.88,58.59,15.29,1493.82,543188.94,2848.71,2758.18,2914.76,3407.59,0.41,1.12,29.71,1
327,2.49,0.77,1.26,0.44,334.21,22.13,474.6,40.46,2777.72,598.91,1951.26,349.26,826.47,249.65,21.84,3.93,66.95,20.33,1607.05,543716.65,2666.09,2548.72,2773.16,3503.28,1.12,0.95,38.76,0
328,3.0,0.33,1.0,0.33,262.0,16.67,390.0,45.46,2227.33,401.0,1424.33,202.0,803.0,199.0,17.0,2.33,72.0,17.67,1538.0,506863.0,2885.67,2753.33,2987.67,3582.67,0.0,1.0,34.44,1
329,2.67,0.67,1.67,0.33,350.0,13.33,433.67,49.56,2486.67,529.33,1946.33,342.0,540.33,187.33,23.0,4.33,50.0,17.33,1560.67,524839.33,3033.67,2920.67,3113.0,3951.67,2.33,1.0,50.0,0
330,2.15,0.53,1.62,0.49,337.22,17.09,420.09,44.52,2442.43,465.22,1786.64,271.51,655.79,193.72,20.83,3.16,55.21,16.21,1597.05,537922.69,2772.09,2650.23,2888.12,3584.31,1.02,0.99,35.94,1
331,2.0,0.67,3.0,0.33,396.0,33.33,358.67,46.51,2158.67,319.67,1452.0,165.33,706.67,154.33,17.33,2.0,58.0,13.33,1459.67,478579.0,3051.0,3178.0,2899.0,3694.67,0.67,1.33,67.78,2
332,3.75,0.75,1.25,0.5,348.5,17.5,420.0,42.22,2352.75,354.5,1652.75,140.0,700.0,214.5,19.25,1.5,58.25,16.5,1587.5,511266.5,2785.75,2781.25,2812.75,3418.25,0.25,0.75,51.67,1
333,2.63,0.62,1.4,0.6,345.92,14.52,369.65,46.68,2181.19,517.05,1437.05,286.13,744.14,230.92,17.27,3.52,63.13,19.41,1518.25,508373.48,2796.76,2696.06,2895.54,3476.54,0.73,1.11,42.24,1
334,2.35,0.75,1.33,0.54,321.93,26.32,471.77,45.75,2753.77,507.35,1982.37,306.19,771.4,201.16,23.4,3.58,62.49,16.93,1638.7,550772.16,3014.95,2905.77,3105.91,3648.44,1.12,1.28,48.63,0
335,2.33,0.74,1.44,0.74,357.15,29.81,454.2,43.35,2642.77,624.92,1929.72,405.55,713.05,219.36,21.93,4.52,60.59,18.52,1634.33,552908.04,2891.05,2709.27,3038.68,3614.76,0.96,1.04,49.14,0
336,2.43,0.36,2.0,0.43,340.93,21.67,396.86,48.02,2332.71,545.0,1483.64,267.86,849.07,277.14,17.07,3.07,75.5,25.0,1558.64,524697.14,2586.36,2525.93,2633.86,3461.0,0.71,0.86,38.45,1
337,2.44,0.59,1.76,0.61,364.81,16.53,470.27,51.0,2869.98,634.16,1959.92,395.3,910.06,238.87,23.24,4.46,77.02,20.76,1593.11,546613.52,2833.12,2757.14,2897.92,3491.16,1.43,1.43,39.35,0
338,2.14,0.56,2.45,0.5,397.5,16.35,472.09,46.24,2735.02,531.36,1845.86,286.84,889.16,244.52,21.97,3.39,76.73,20.27,1642.5,555455.89,2818.91,2675.72,2937.83,3599.05,1.08,1.06,41.9,0
339,2.11,0.51,1.98,0.47,361.91,12.84,396.77,50.81,2329.6,440.45,1541.54,235.17,788.06,205.28,19.31,2.76,68.34,17.8,1534.71,511528.4,2891.42,2843.61,2932.68,3636.43,0.87,1.14,36.07,1
340,2.56,0.48,1.66,0.52,327.94,9.52,365.14,48.57,2195.84,435.82,1534.15,242.61,661.68,193.22,19.8,3.06,56.16,16.33,1557.42,524286.8,2639.41,2546.11,2717.22,3304.41,1.13,1.19,37.28,1
341,3.4,0.97,1.24,0.52,383.56,22.18,435.56,47.6,2623.46,715.11,1846.51,447.16,776.94,267.96,22.5,5.29,65.43,22.47,1598.17,542327.16,2633.57,2467.23,2786.06,3522.2,1.32,0.92,52.46,0
342,1.4,0.0,1.0,0.4,262.4,0.0,350.4,41.87,2131.2,500.0,1216.4,218.2,914.8,281.8,13.4,2.6,80.4,24.2,1534.2,526024.2,2632.8,2493.2,2747.4,3299.2,1.2,0.8,20.0,1
343,2.43,0.76,2.38,0.19,422.52,26.27,415.19,47.82,2406.05,456.76,1533.86,246.95,872.19,209.81,18.62,2.9,75.57,18.71,1566.05,522603.33,2772.0,2663.38,2869.29,3359.29,0.43,1.19,46.59,1
344,3.21,0.57,1.36,0.57,322.64,4.62,453.29,46.95,2614.43,414.21,1982.21,243.79,632.21,170.43,23.5,2.93,50.0,14.07,1638.93,550128.21,2994.43,2845.57,3129.43,3616.0,1.14,0.5,39.76,0
345,2.28,0.55,1.7,0.55,342.66,22.1,414.39,45.41,2393.07,585.17,1580.94,312.92,812.14,272.25,18.89,3.7,70.5,23.26,1569.01,528528.8,2786.59,2699.42,2878.56,3579.75,1.51,0.95,38.69,0
346,2.67,0.33,1.67,0.67,324.33,6.67,406.0,49.47,2037.0,287.67,1515.67,149.0,521.33,138.67,18.67,2.0,40.67,10.0,1539.0,444167.67,2689.0,2598.33,2770.67,3311.33,1.0,1.0,33.33,2
347,2.67,0.33,0.67,0.33,207.33,6.67,435.0,51.09,2262.0,479.33,1536.0,271.0,726.0,208.33,18.67,3.33,66.33,19.0,1579.33,467959.33,2794.0,2655.0,2933.0,3385.67,0.67,1.33,2.22,1
348,2.56,0.56,1.51,0.44,330.16,18.43,372.95,48.74,2248.42,469.02,1479.91,257.2,768.51,211.82,18.44,3.05,66.73,18.31,1532.64,520171.22,2719.53,2665.0,2766.4,3449.4,0.67,1.05,26.0,1
349,2.0,0.75,3.0,0.0,399.0,15.0,471.75,43.12,2622.5,403.0,1768.5,203.25,854.0,199.75,19.75,2.25,75.0,17.5,1592.5,510144.25,2783.75,2664.25,2863.75,3569.25,1.25,0.5,18.75,1
350,3.11,0.67,1.15,0.48,323.67,19.31,443.85,49.94,2552.89,558.63,1862.26,354.81,690.63,203.81,21.81,4.26,57.56,16.59,1662.85,549183.37,2738.0,2548.37,2906.78,3553.33,1.56,1.37,38.15,0
351,2.8,0.5,1.2,0.3,331.7,21.0,413.8,41.13,2596.6,368.2,1758.7,180.6,837.9,187.6,20.5,2.1,70.2,14.9,1547.9,554701.4,2837.5,2775.0,2901.0,3474.8,1.6,1.3,33.0,1
352,2.47,0.65,1.62,0.57,354.12,19.63,404.67,44.32,2357.16,446.74,1645.92,242.05,711.24,204.68,19.62,2.84,58.65,16.87,1597.08,544265.8,2714.43,2605.3,2813.79,3537.75,0.77,1.13,40.24,1
353,2.72,0.87,1.68,0.65,396.5,25.58,392.22,45.28,2313.15,442.99,1675.84,256.79,637.31,186.19,20.21,3.09,53.35,15.85,1570.29,521619.46,2879.72,2787.53,2959.04,3592.24,1.04,1.47,51.21,1
354,2.21,0.73,1.69,0.52,371.44,27.19,368.79,51.59,2201.48,375.94,1503.83,205.79,697.65,170.15,17.85,2.46,61.04,15.17,1525.21,511388.73,2907.98,2791.29,3015.17,3656.67,0.46,1.04,45.4,1
355,3.0,0.75,2.12,0.62,445.59,21.25,450.25,46.89,2672.58,542.53,1854.53,305.49,818.04,237.04,22.1,3.67,66.44,19.11,1628.48,545570.45,2722.42,2618.75,2812.25,3524.73,0.6,1.22,50.55,0
356,1.0,0.33,2.33,0.33,276.83,17.22,364.17,45.41,2120.83,378.5,1373.5,241.67,747.33,136.83,15.67,2.67,64.83,12.17,1489.5,493684.83,2965.5,2923.17,3007.83,3525.5,0.5,0.67,41.67,2
357,2.0,0.33,2.33,1.0,390.0,16.67,426.0,49.42,2487.67,254.33,1739.67,113.33,748.0,141.0,19.33,1.67,59.0,12.0,1599.67,540179.0,3107.0,3127.67,3119.33,3945.67,0.67,1.0,83.33,1
358,3.04,0.95,1.31,0.55,379.53,18.85,439.18,48.37,2550.07,536.95,1737.58,288.89,812.49,248.05,20.65,3.55,68.13,20.49,1610.2,539674.89,2731.29,2553.96,2896.13,3576.24,0.85,0.95,54.36,0
359,3.33,0.0,0.33,0.33,208.0,0.0,430.0,49.79,2636.33,448.33,1963.67,294.0,672.67,154.33,22.33,3.33,56.33,14.0,1639.0,564201.67,2751.67,2647.67,2823.0,3497.33,0.0,1.67,16.67,1
360,2.66,0.68,1.52,0.4,345.78,17.93,436.33,45.17,2588.61,537.74,1928.95,333.59,659.66,204.15,22.39,3.74,54.47,16.68,1610.79,541119.07,2788.46,2647.22,2881.05,3554.76,0.99,1.01,39.31,0
361,1.75,0.75,1.5,0.25,319.25,38.33,413.0,43.28,2179.0,149.75,1746.25,65.75,432.75,84.0,19.25,0.75,38.5,7.25,1560.0,499496.0,2950.75,2778.25,3072.25,3568.0,0.5,0.0,75.0,2
362,2.53,0.68,1.5,0.37,341.48,19.2,404.84,48.25,2432.5,465.15,1681.69,280.5,750.8,184.65,20.27,3.51,65.17,15.93,1561.36,529669.73,2972.58,2891.96,3038.08,3819.4,0.97,0.77,30.2,1
363,2.04,0.64,1.28,0.45,300.91,25.0,425.16,45.95,2534.36,464.73,1840.2,278.97,694.16,185.76,21.25,3.2,58.24,15.61,1596.95,543185.8,3028.6,2959.99,3090.83,3699.95,0.76,0.88,36.26,1
364,2.65,0.71,1.94,0.41,379.94,27.45,426.18,47.51,2660.65,555.24,1898.47,356.41,762.18,198.82,21.88,4.06,66.65,17.35,1628.94,561321.82,2775.41,2581.53,2949.47,3381.24,0.82,1.06,58.43,0
365,2.49,0.72,1.6,0.59,378.22,21.9,414.8,46.41,2478.56,561.05,1708.84,324.79,769.72,236.27,20.27,3.78,64.76,19.68,1476.73,510653.35,2860.78,2742.66,2977.3,3768.74,1.33,0.88,45.19,0
366,2.44,0.6,1.38,0.47,348.7,13.51,434.08,48.33,2532.58,562.12,1821.39,346.0,711.19,216.12,21.51,3.99,60.61,17.89,1578.73,531434.98,3012.12,2880.48,3138.48,3775.08,0.85,0.94,50.33,0
367,2.25,0.58,1.5,0.42,344.92,25.28,344.5,48.36,2071.42,412.75,1499.67,265.83,571.75,146.92,17.25,3.33,50.33,12.83,1512.0,510448.0,2896.17,2768.58,3017.33,3662.75,0.75,1.25,42.5,1
