stt_jgd_id,stt_chutes_ao_gol,stt_gols,stt_defesas,stt_assistencias,stt_pontuacao,stt_relacao_chute_gol,stt_impulso_por_minuto,stt_med_impulso,stt_impulso_coletado,stt_impulso_roubado,stt_impulso_grande_coletado,stt_impulso_grande_roubado,stt_impulso_pequeno_coletado,stt_impulso_pequeno_roubado,stt_blocos_grandes_coletados,stt_blocos_grandes_roubados,stt_blocos_pequenos_coletados,stt_blocos_pequenos_roubados,stt_velocidade_med,stt_distancia_percorrida,stt_distancia_med_da_bola,stt_distancia_med_posse,stt_distancia_med_s_posse,stt_distancia_med_dos_aliados,stt_demolicoes_causadas,stt_demolicoes_recebidas,stt_participacoes_gols,cluster
72,2.43,0.78,1.5,0.49,370.61,20.88,405.06,51.06,2445.31,556.35,1797.24,377.84,648.07,178.51,23.01,4.64,57.65,15.44,1540.28,516839.19,2898.26,2744.67,3038.58,3775.1,0.91,0.72,37.85,0
73,1.43,0.29,1.86,0.29,321.43,28.57,324.29,47.01,1900.71,331.0,1081.0,164.57,819.71,166.43,13.86,1.71,70.71,14.57,1466.57,486250.14,2900.14,2813.43,2948.14,3705.0,0.29,0.71,57.14,2
74,2.33,0.67,1.0,0.33,354.67,2.22,401.33,48.12,2385.67,231.33,1757.67,107.67,628.0,123.67,19.33,1.33,55.33,10.67,1496.33,501987.33,2683.67,2411.67,2892.0,3424.33,0.0,0.0,50.0,2
75,1.62,0.69,1.43,0.17,296.29,26.74,391.95,52.38,2486.05,493.57,1503.1,270.14,982.95,223.43,18.71,3.29,84.93,19.79,1478.4,509154.33,3104.0,3028.79,3168.79,3801.21,0.9,0.95,41.19,1
76,1.33,0.67,1.67,0.0,316.33,34.44,406.67,45.02,2410.0,454.67,1588.0,251.0,822.0,203.67,18.0,3.0,68.67,15.33,1537.33,506310.0,2766.0,2518.33,2912.67,3659.67,1.0,1.33,66.67,1
77,2.33,0.0,1.0,0.33,203.0,0.0,329.67,43.79,1914.33,440.33,1083.33,220.0,831.0,220.33,12.67,2.67,71.33,19.67,1404.33,466786.0,2806.0,2775.0,2827.33,3305.67,0.33,0.33,33.33,2
78,2.71,0.78,1.07,0.66,358.57,22.07,393.75,44.8,2293.84,556.17,1472.77,306.71,821.07,249.46,17.3,3.53,71.07,21.16,1503.78,505995.61,2801.7,2637.24,2965.22,3605.1,0.63,0.87,52.84,1
79,2.26,0.62,1.42,0.61,336.35,19.47,376.15,49.69,2303.99,574.17,1624.1,368.59,679.88,205.58,19.69,4.4,58.14,17.44,1550.39,531914.09,2957.99,2856.47,3052.46,3782.29,1.12,0.99,40.43,1
80,1.98,0.44,1.2,0.49,293.9,14.49,362.25,47.27,2208.88,450.77,1408.85,237.34,800.03,213.44,17.44,2.87,69.44,18.55,1436.34,491234.76,3045.96,3048.96,3043.25,3684.03,0.66,1.14,35.21,1
81,2.54,0.31,0.85,0.77,264.92,6.28,434.38,46.51,2633.46,641.08,1824.46,355.46,809.0,285.62,22.0,4.46,68.77,24.62,1588.54,548197.46,2921.62,2831.46,3016.92,3695.92,1.54,0.77,43.33,0
82,2.78,0.74,1.23,0.55,344.6,18.04,361.23,46.22,2218.05,506.06,1485.22,284.81,732.82,221.25,18.16,3.49,62.79,19.0,1467.01,503820.58,3005.07,2955.16,3053.47,3720.88,1.48,0.92,40.6,1
